TotalPop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,PCODE3
29381,-0.2845358898184881,-0.10786971957966032,0.3397644472225928,-0.9502071115613833,3,3,4,1,K0B
65751,-0.3828497080534287,-0.16669914475197342,0.30482389254093467,-0.9140517439024802,3,3,4,1,K0C
140144,-0.5701849153293899,-0.7090016748434467,-0.3108935942111969,-0.6676015134711648,2,2,3,2,K0A
61099,-0.39074150746198805,-0.10900663635542317,0.500289439334441,-0.9287927559706867,3,3,4,1,K0E
60946,-0.43719010478462905,-0.4457266157111048,0.4058915407773274,-0.9223679004635249,2,2,4,1,K0G
14882,-0.4157633927875286,-0.6176193024985216,0.11754447964614974,-0.48107667632193263,2,2,3,2,K1E
42890,-0.34821192804835627,-0.6805683680726977,-0.10538422151573794,-0.0645865874712987,2,2,3,3,K1C
17503,0.11621507812614978,-0.019680245075187147,-0.17324998266291491,0.05274298620596468,3,3,3,3,K1B
25696,0.29403598439130607,-0.09185813932366903,0.2602717639053159,0.2792322490556118,4,3,3,4,K1J
30655,1.0646289933982709,1.1177316232652748,0.02734835016940139,0.4780345235490131,4,4,3,4,K1K
17107,2.0535049635541593,0.7850968987286491,0.09087732104144505,-0.015806712440287574,5,4,3,3,K1L
6562,0.7006792680374885,-1.0277731472816214,0.21707339755486135,-0.41836489598918014,4,1,3,3,K1M
21325,1.2577258927060255,-0.19221759113144202,0.1497610153898242,-0.18051383649692845,4,3,3,3,K1A
25148,2.1466946675054084,0.15595584546767136,-0.21772161917679342,0.264213493621958,5,3,2,3,K1N
28759,0.8381287451211796,-0.8133270757100736,-0.4408295063374596,-0.12676216374985222,4,2,2,3,K1S
16997,2.3884150684700827,-0.3683106799385185,-0.4645617028978643,-0.00717029269559331,5,2,2,3,K1R
3795,2.1317325311006585,-1.0707945604840579,-0.3010509433891963,-0.23820752782740448,5,1,2,3,K1P
19950,0.951711112086867,-0.7662611011077195,-0.4192907322950877,-0.4251344503505264,4,2,2,3,K1Y
